412,Sweeney
413,Black and Tan Soldier
414,Nic Vos
415,Patrick Chamusso
416,Precious Chamusso
417,Zuko September
418,Obadi
419,Sixpence
420,Miriam
421,Anna Vos
422,Johnny Piliso
423,Katie Vos
424,Marie Vos
425,Mama Dorothy
426,White Madam
427,Robert Angier
428,Alfred Borden
429,Cutter
430,Olivia Wenscombe
431,Alley
432,Jess Borden
433,Nikola Tesla
434,Julia McCullough
435,Sarah Borden
436,Judge
437,Owens
438,Milton
439,Prosecutor
440,Defender
441,Captain
442,Sullen Warder
443,Stagecoach Driver
444,Hotel Manager
445,Boy
446,Chung Ling Soo
447,Voice
448,Merrit
449,Ticket Hawker
450,Moderator
451,Scalper
452,Man in Hotel
453,Man in Hotel
454,Ackerman
455,Blind Stagehand 1
456,Blind Stagehand 2
457,Blind Stagehand 3
458,Glamorous Assistant
459,Workman 1
460,Leonard
461,Will
462,Upscale London Boy (uncredited)
463,Bar Maid (uncredited)
464,Dancer (uncredited)
465,Piano Player 1 (uncredited)
466,Stagehand (uncredited)
467,Handkerchief Lady (uncredited)
468,Curtis Taylor Jr.
469,Deena Jones
470,James "Thunder" Early
471,Marty Madison
472,Effie White
473,Lorrell Robinson
474,C.C. White
475,Michelle Morris
476,Wayne
477,Magic
478,May
479,M.C.
480,Tiny Joe Dixon
481,Jazz Singer
482,Elvis Kelly
483,Max Washington
484,Jerry Harris
485,Sam Walsh
486,Ronald White
487,Aunt Ethel
488,Sweetheart
489,Curtis' Secretary
490,Man in D.C. Bar (uncredited)
491,Paul Prior
492,Celia
493,Penny Prior
494,Andrew Prior
495,Jonathan
496,Jackie
497,Miss Seagar
498,Paul as Teenager
499,Andrew as Teenager
500,Iris
501,Caye
502,Zulema
503,Pilar
504,Gloria
505,Caren
506,Ángela
507,Rosa
508,Blanca
509,Mamen
510,Manuel
511,Funcionario
512,Carlos
513,Alicia
514,Voluntario
515,Dueño Bar
516,Annie Sullivan
517,Helen Keller
518,Captain Arthur Keller
519,Kate Keller
520,James Keller
521,Aunt Ev
522,Admissions Officer (uncredited)
523,2nd Crone (uncredited)
524,1st Crone (uncredited)
525,3rd Crone (uncredited)
526,Viney - Keller Maid (uncredited)
527,Helen Keller
528,Anne Sullivan
529,Captain Keller
530,James Keller
531,Kate Keller
532,Farm Boss
533,Richard
534,Susan
535,Santiago
536,Cheiko
537,Amelia
538,Anwar
539,Tom
540,Lilly
541,Douglas
542,Elyse
543,Jane
544,James
545,John - Border Patrol
546,Bill - Border Patrol
547,Officer at Border Crossing
548,Officer #2
549,Yasujiro Wataya
550,Lucia
551,Debbie Jones
552,Mike Jones
553,Walter
554,Barth
555,Tourist
556,Tourist
557,Tourist
558,Tourist
559,Tourist
560,Tourist
561,Tourist
562,Ken Clifford
563,Yussef
564,Ahmed
565,Abdullah
566,Alarid
567,Zohra
568,Yasira
569,Waiter Casbah
570,Old Man in Car
571,Anwar's Grandmother
572,Store Owner
573,Emilio
574,Helicopter Pilot
575,FBI Interrogation Officer
576,Mitsu
577,Mother at Dentist
578,Luis
579,Amelia's Daughter
580,Patricia
581,Nurse at Dentist's
582,Dentist
