TV_Movie_ID,Genre_ID,Genre
1389,80,Crime
1391,18,Drama
1391,10749,Romance
1392,99,Documentary
1393,18,Drama
1393,99,Documentary
1394,18,Drama
1394,10749,Romance
1396,18,Drama
1396,36,History
1397,99,Documentary
1398,18,Drama
1398,878,Science Fiction
1398,53,Thriller
1402,18,Drama
1403,28,Action
1403,37,Western
1404,18,Drama
1404,10749,Romance
1405,18,Drama
1405,36,History
1406,28,Action
1406,12,Adventure
1406,35,Comedy
1406,18,Drama
1406,37,Western
1407,10402,Music
1407,18,Drama
1408,28,Action
1408,12,Adventure
1410,35,Comedy
1410,878,Science Fiction
1411,9648,Mystery
1411,18,Drama
1412,18,Drama
1413,18,Drama
1413,10749,Romance
1414,18,Drama
1414,9648,Mystery
1414,10749,Romance
1415,35,Comedy
1415,18,Drama
1415,80,Crime
1416,18,Drama
1416,10769,Foreign
1416,53,Thriller
1417,14,Fantasy
1417,18,Drama
1417,10752,War
1418,18,Drama
1419,35,Comedy
1419,18,Drama
1420,18,Drama
1420,35,Comedy
1421,18,Drama
1421,35,Comedy
1421,10749,Romance
1422,18,Drama
1422,53,Thriller
1422,80,Crime
1423,12,Adventure
1423,35,Comedy
1423,27,Horror
1423,878,Science Fiction
1424,18,Drama
1424,9648,Mystery
1424,53,Thriller
1426,18,Drama
1427,80,Crime
1427,14,Fantasy
1427,18,Drama
1428,28,Action
1429,80,Crime
1429,18,Drama
1430,99,Documentary
1433,14,Fantasy
1433,18,Drama
1433,27,Horror
1433,53,Thriller
1433,878,Science Fiction
1435,99,Documentary
1435,18,Drama
1436,18,Drama
1436,28,Action
1436,36,History
1436,10769,Foreign
1438,16,Animation
1439,18,Drama
1439,36,History
1439,10749,Romance
1440,10749,Romance
1440,18,Drama
1441,18,Drama
1441,28,Action
1441,53,Thriller
1441,80,Crime
1442,99,Documentary
1443,18,Drama
1443,10749,Romance
1444,35,Comedy
1444,18,Drama
1448,18,Drama
1448,14,Fantasy
1448,27,Horror
1450,28,Action
1450,12,Adventure
1450,27,Horror
1450,878,Science Fiction
1450,53,Thriller
1452,12,Adventure
1452,14,Fantasy
1452,28,Action
1452,878,Science Fiction
1479,18,Drama
1479,80,Crime
1480,18,Drama
1480,53,Thriller
1480,80,Crime
1481,18,Drama
1481,28,Action
1481,10769,Foreign
1482,28,Action
1482,18,Drama
1483,14,Fantasy
1483,27,Horror
1484,18,Drama
1485,80,Crime
1485,53,Thriller
1487,14,Fantasy
1487,28,Action
1487,878,Science Fiction
1488,18,Drama
1488,35,Comedy
1489,28,Action
1490,18,Drama
1491,14,Fantasy
1491,18,Drama
1491,53,Thriller
1491,10749,Romance
1492,28,Action
1492,12,Adventure
1492,18,Drama
1492,36,History
1493,35,Comedy
1493,80,Crime
1493,28,Action
1494,28,Action
1494,18,Drama
1494,14,Fantasy
1495,18,Drama
1495,28,Action
1495,12,Adventure
1495,36,History
1495,10752,War
1496,18,Drama
1496,28,Action
1496,35,Comedy
1496,10402,Music
1496,10749,Romance
1497,878,Science Fiction
1497,12,Adventure
1497,28,Action
1497,35,Comedy
1497,10751,Family
1498,878,Science Fiction
1498,28,Action
1498,12,Adventure
1498,35,Comedy
1498,10751,Family
1499,28,Action
1499,12,Adventure
1499,35,Comedy
1499,10751,Family
1499,14,Fantasy
1499,878,Science Fiction
1523,18,Drama
