ID,Chacter1,Person1,Chacter2,Person2,Chacter3,Person3,Chacter4,Person4,Chacter5,Person5,Chacter6,Person6
1272,Capa,Cillian Murphy,Cassie,Rose Byrne,Mace,Chris Evans,Corazon,Michelle Yeoh,Searle,Cliff Curtis,Kaneda,Hiroyuki Sanada
1273,Casey (voice),Chris Evans,April O'Neil (voice),Sarah Michelle Gellar,Splinter (voice),Mako,Diner Cook (voice),Kevin Smith,Winters (voice),Patrick Stewart,Karai (voice),Zhang Ziyi
1277,Ilona,Erika Marozsán,László,Joachim Król,Hans Wieck,Ben Becker,András,Stefano Dionisi,Ilonas Sohn,András Bálint,Geigenspieler,Géza Boros
1278,Matthew,Michael Pitt,Isabelle,Eva Green,Theo,Louis Garrel,Mother,Anna Chancellor,Father,Robin Renucci,Himself,Jean-Pierre Kalfon
1279,Jae-yeong,Han Yeo-reum,Yeo-jin,Kwak Ji-min,Yeong-ki,Lee Eol,Salesman,Kwon Hyun-Min,Musician,Oh Young,Tidily Guy,Gyun-Ho Im
1280,Sun-hwa,Lee Seung-yeon,Tae-suk,Jae Hee,Min-gyu,Kwon Hyuk-Ho,Jailor,Choi Jeong-ho,Daughter-in-law of Old Man,Lee Mi-suk,Son of Old Man,Lee Ju-seok
1281,Mr. Bean,Rowan Atkinson,David Langley,Peter MacNicol,Chairman,John Mills,Alison Langley,Pamela Reed,George Grierson,Harris Yulin,General Newton,Burt Reynolds
1282,Narrator,Sean Penn,Himself (Zephyr skate team),Jay Adams,Himself,Henry Rollins,Himself,Steve Caballero,Himself,Tony Hawk,Himself,Jeff Ament
1283,José Luis Torrente,Santiago Segura,Rafi,Javier Cámara,Amparito,Neus Asensi,Reme,Chus Lampreave,Felipe Torrente,Tony Leblanc,Toneti,Jimmy Barnatán
1284,José Luis Torrente,Santiago Segura,Cuco,Gabino Diego,Mauricio Torrente,Tony Leblanc,Spinello,José Luis Moreno,Bella cantante,Inés Sastre,Fabiano,Arturo Valls
1285,José Luis Torrente,Santiago Segura,Giannina Ricci,Yvonne Sciò,Solís,Javier Gutiérrez,Josito,José Mota,Torrentes Großmutter,Tony Leblanc,Salas,Enrique Villén
1294,Traude Krüger,Monica Bleibtreu,Jenny von Loeben,Hannah Herzsprung,Mütze,Sven Pippig,Kowalski,Richy Müller,Ayse,Jasmin Tabatabai,Direktor Meyerbeer,Stefan Kurt
1358,Himself,Stephen Hawking,Herself,Isobel Hawking,Herself - Stephen Hawking's Aunt,Janet Humphrey,Herself - Stephen Hawking's Sister,Mary Hawking,,,,
1359,Patrick Bateman,Christian Bale,Det. Donald Kimball,Willem Dafoe,Paul Allen,Jared Leto,Craig McDermott,Josh Lucas,Courtney Rawlinson,Samantha Mathis,Luis Carruthers,Matt Ross
1360,Frida Kahlo,Salma Hayek,Diego Rivera,Alfred Molina,Cristina Kahlo,Mía Maestro,Matilde Kahlo,Patricia Reyes Spíndola,Alejandro,Diego Luna,Guillermo Kahlo,Roger Rees
1361,Frodo Baggins,Orson Bean,Aragorn,Theodore Bikel,Denethor,William Conrad,Gandalf,John Huston,Samwise Gamgee,Roddy McDowall,Gollum,Brother Theodore
1362,Bilbo Baggins,Orson Bean,Smaug,Richard Boone,Thorin,Hans Conried,Gandalf the Grey,John Huston,Elvenking,Otto Preminger,Elrond,Cyril Ritchard
1363,Pete Calder,Billy Crudup,Big Boy Matson,Woody Harrelson,Mona,Patricia Arquette,Josepha O'Neil,Penélope Cruz,Little Boy Matson,Cole Hauser,Les Birk,John Diehl
1364,Lucía,Paz Vega,Lorenzo,Tristán Ulloa,Elena,Najwa Nimri,Carlos/Antonio,Daniel Freire,Belén,Elena Anaya,Luna,Silvia Llanos
1365,Leticia Musgrove,Halle Berry,Hank Grotowski,Billy Bob Thornton,Sonny Grotowski,Heath Ledger,Lawrence Musgrove,Sean Combs,Tyrell Musgrove,Coronji Calhoun,Buck Grotowski,Peter Boyle
1366,Rocky Balboa,Sylvester Stallone,"Adrianna ""Adrian"" Pennino",Talia Shire,Paulie,Burt Young,Apollo Creed,Carl Weathers,Mickey Goldmill,Burgess Meredith,Jergens,Thayer David
1367,Rocky Balboa,Sylvester Stallone,Adrian,Talia Shire,Paulie,Burt Young,Apollo Creed,Carl Weathers,Mickey Goldmill,Burgess Meredith,Duke,Tony Burton
1368,John J. Rambo,Sylvester Stallone,Col. Samuel Trautman,Richard Crenna,Hope Sheriff Will Teasle,Brian Dennehy,State Police Capt. Dave Kern,Bill McKinney,Deputy Sgt. Arthur Galt,Jack Starrett,Deputy Balford,Michael Talbott
1369,John J. Rambo,Sylvester Stallone,Col. Samuel Trautman,Richard Crenna,Marshall Murdock,Charles Napier,Lt. Col. Podovsky,Steven Berkoff,Co Bao,Julia Nickson,Capt Vinh,George Cheung
1370,Rambo,Sylvester Stallone,Trautman,Richard Crenna,Griggs,Kurtwood Smith,Masoud,Spiros Focás,Mousa,Sasson Gabai,Hamid,Doudi Shoua
1371,Rocky Balboa,Sylvester Stallone,"Adrianna ""Adrian"" Pennino Balboa",Talia Shire,Paulie,Burt Young,Apollo Creed,Carl Weathers,Mickey Goldmill,Burgess Meredith,Duke,Tony Burton
1372,Danny Archer,Leonardo DiCaprio,Solomon Vandy,Djimon Hounsou,Maddy Bowen,Jennifer Connelly,Dia Vandy,Kagiso Kuypers,Colonel Coetzee,Arnold Vosloo,Cordell Brown,Antony Coleman
1373,Onno Quist,Stephen Fry,Max Delius,Greg Wise,Quinten Quist - 16 years,Neil Newbon,Angel,Viv Weatherall,Gabriel,Jeroen Krabbé,Ada Brons,Flora Montgomery
1374,Rocky Balboa,Sylvester Stallone,Adrian,Talia Shire,Paulie,Burt Young,Apollo Creed,Carl Weathers,Ludmilla Vobet Drago,Brigitte Nielsen,Duke,Tony Burton
1375,Rocky Balboa,Sylvester Stallone,Adrian,Talia Shire,Paulie,Burt Young,Rocky Balboa Jr.,Sage Stallone,Mickey Goldmill,Burgess Meredith,Tommy 'Machine' Gunn,Tommy Morrison
1376,Liam,Martin Compston,Chantelle,Annmarie Fulton,Pinball,William Ruane,Suzanne,Michelle Abercromby,Jean,Michelle Coulter,Stan,Gary McCormack
1377,Tom Winters,Cary Grant,Cinzia Zaccardi,Sophia Loren,Carolyn Gibson,Martha Hyer,Angelo Donatello,Harry Guardino,Arturo Zaccardi,Eduardo Ciannelli,Capt. Alan Wilson,Murray Hamilton
1378,Sofia,Sook-Yin Lee,James,Paul Dawson,Jamie,PJ DeBoy,Ceth,Jay Brannan,Severin,Lindsay Beamish,Rob,Raphael Barker
1379,Koistinen,Janne Hyytiäinen,Aila,Maria Heiskanen,Mirja,Maria Järvenhelmi,Lindström,Ilkka Koivula,Verkäuferin,Kati Outinen,Gangster,Vesa Häkli
1380,Brian,Christian Slater,Tony Hawk,Tony Hawk,Stacy Peralta,Stacy Peralta,Rodney Mullen,Rodney Mullen,Bobby Nguyen,Peter Kwong,Al Lucero,Steven Bauer
1381,Tomás/Tom Creo/Tommy,Hugh Jackman,Queen Isabella/Izzi Creo,Rachel Weisz,Dr. Lillian Guzetti,Ellen Burstyn,Father Avila,Mark Margolis,Grand Inquisitor Silecio,Stephen McHattie,Lord of Xibalba,Fernando Hernandez
1382,Christine Jesperson,Miranda July,Richard Swersey,John Hawkes,Robby Swersey,Brandon Ratcliff,Peter Swersey,Miles Thompson,Sylvie,Carlie Westerman,Andrew,Brad William Henke
1386,the driver,Claude Lelouch,,,,,,,,,,
1387,Karen (voice),Merrill Gruver,Richard (voice),Michael Edwards,Mother (voice),Melissa Brown,Dad / Mr. A&M (voice),Rob LaBelle,Dionne Warwick (voice),Cynthia Schneider,,Todd Haynes
1388,,,,,,,,,,,,
1389,Jack Foley,George Clooney,Karen Sisco,Jennifer Lopez,Ray Nicolette,Michael Keaton,Hejira Henry,Samuel L. Jackson,Marshall Sisco,Dennis Farina,Adele,Catherine Keener
1391,Julio Zapata,Gael García Bernal,Tenoch Iturbide,Diego Luna,Ana Morelos,Ana López Mercado,Luisa Cortés,Maribel Verdú,,,,
1392,"Herself ""Zana Auntie""",Zana Briski,,Avijit,,Geeta Masi,,Kochi,,Mamuni,,
1393,Vater,Batchuluun Urjindorj,Mutter,Buyandulam Daramdadi,Tochter,Nansal Batchuluun,Tochter,Nansalmaa Batchuluun,,,,
1394,Andrei Gorchakov,Oleg Yankovskiy,Domenico,Erland Josephson,Eugenia,Domiziana Giordano,Andrei's Wife,Patrizia Terreno,Chambermaid,Laura De Marchi,Domenico's Wife,Delia Boccardo
1396,Matka/Natalya,Margarita Terekhova,The Father,Oleg Yankovskiy,Lisa,Alla Demidova,Direktor,Nikolay Grinko,Military trainer,Yuriy Nazarov,Nadezha,Larisa Tarkovskaya
1397,,,,,,,,,,,,
1398,Stalker,Aleksandr Kaydanovskiy,Ecrivain,Anatoliy Solonitsyn,Physicien,Nikolay Grinko,Femme du Stalker,Alisa Freyndlikh,Martha, fille du Stalker,Natasha Abramova,
1402,Chris Gardner,Will Smith,Christopher,Jaden Smith,Linda,Thandie Newton,Jay Twistle,Brian Howe,Martin Frohm,James Karen,Walter Ribbon,Kurt Fuller
1403,Jess Remsberg,James Garner,Toller,Sidney Poitier,Ellen Grange,Bibi Andersson,Willard Grange,Dennis Weaver,Scotty McAllister,Bill Travers,Sgt. Ferguson,William Redfield
1404,Casim Khan,Atta Yaqub,Roisin Hanlon,Eva Birthistle,Sadia Khan,Shamshad Akhtar,Rukhsana Khan,Ghizala Avan,Tahara Khan,Shabana Akhtar Bakhsh,Tariq Khan,Ahmad Riaz
1405,Trina,Zasu Pitts,John McTeague,Gibson Gowland,Marcus,Jean Hersholt,Maria,Dale Fuller,Mother McTeague,Tempe Pigott,Mommer Sieppe,Sylvia Ashton
1406,Mitch Robbins,Billy Crystal,Phil Berquist,Daniel Stern,Ed Furillo,Bruno Kirby,Curly Washburn,Jack Palance,Barbara Robbins,Patricia Wettig,Bonnie Rayburn,Helen Slater
1407,Edith Piaf,Marion Cotillard,Mômone,Sylvie Testud,Louis Barrier,Pascal Greggory,Titine,Emmanuelle Seigner,Louis Gassion,Jean-Paul Rouve,Louis Leplée,Gérard Depardieu
1408,Morgan Adams,Geena Davis,William Shaw,Matthew Modine,Dawg,Frank Langella,John Reed,Maury Chaykin,Ainstee,Patrick Malahide,Glasspoole,Stan Shaw
1410,Lt. Doolittle,Brian Narelle,Boiler,Cal Kuniholm,Talby,Dre Pahich,Bomb 20 ( voice ),Adam Beckenbaugh,Ailien,Nick Castle,Comannder Powell ( voice ),Joe Saunders
1411,Sharon,Mimi Rogers,Vic,Patrick Bauchau,Randy,David Duchovny,Maggie,Darwyn Carson,Deputy Foster,Will Patton,Tommy,James Le Gros
1412,Ann Bishop Mullany,Andie MacDowell,John Mullany,Peter Gallagher,Graham Dalton,James Spader,Cynthia Bishop,Laura San Giacomo,Therapist,Ron Vawter,Barfly,Steven Brill
1413,René Gallimard,Jeremy Irons,Song Liling,John Lone,Jeanne Gallimard,Barbara Sukowa,Ambassador Toulon,Ian Richardson,Frau Baden,Annabel Leventon,Agent Etancelin,Vernon Dobtcheff
1414,Ana joven,Najwa Nimri,Otto joven,Fele Martínez,Otto,Joost Siedhoff,Otto niño,Peru Medem,Ana niña,Sara Valiente,Otto adolescente,Víctor Hugo Oliveira
1415,James St. James,Seth Green,Michael Alig,Macaulay Culkin,Gitsy,Chloë Sevigny,Elke,Diana Scarwid,Christina,Marilyn Manson,Peter Gatien,Dylan McDermott
1416,Kang Sang-byeong,Jang Dong-gun,Kim Sang-byeong,Jeong-hak Kim,Mi-yeong,Park Ji-ah ,Cheol-gu,Hye-jin Yu,,Kim Tae-woo,,Jung Hee-Tae
1417,Ofelia,Ivana Baquero,Mercedes,Maribel Verdú,Capitán Vidal,Sergi López,Fauno / Pale Man,Doug Jones,Carmen,Ariadna Gil,Dr. Ferreiro,Alex Angulo
1418,Pilar,Laia Marull,Antonio,Luis Tosar,Ana,Candela Peña,Aurora,Rosa Maria Sardà,Rosa,Kiti Mánver,Lola,Elisabet Gelabert
1419,Simon Peters,Oliver Pocher,Flik,Oliver Fleischer,Paula,Tanja Wenzel,Steve,Tomas Spencer,Chefin,Anke Engelke,Lala,Adriana Altaras
1420,Patrick 'Kitten' Braden,Cillian Murphy,Father Liam,Liam Neeson,Charlie,Ruth Negga,Irwin,Laurence Kinlan,Bertie,Stephen Rea,John-Joe,Brendan Gleeson
1421,Bertrand Morane,Charles Denner,Geneviève Bigey,Brigitte Fossey,Delphine Grezel,Nelly Borgeaud,Hélène,Geneviève Fontanel,Véra,Leslie Caron,Fabienne,Valérie Bonnier
