4885,2,1,4885,null,0.0945,1220837,Remi Aubuchon,null,,,
4885,2,2,4885,,0.001722,1584999,Marc A. Kahn,null,,,
4885,2,2,4885,3/17/1964,1.864973,2879,Rob Lowe,Charlottesville - Virginia - USA,,,
4885,2,2,4885,4/26/1931,3.20E-05,8859,Bernie Brillstein,null,,,
4885,2,2,4885,12/29/1957,1.00E-06,1298,Brad Grey,null,,,
4885,2,2,4885,null,0.0945,1220837,Remi Aubuchon,null,,,
4885,2,3,4885,,0.001722,1584999,Marc A. Kahn,null,,,
4885,2,3,4885,3/17/1964,1.864973,2879,Rob Lowe,Charlottesville - Virginia - USA,,,
4885,2,3,4885,4/26/1931,3.20E-05,8859,Bernie Brillstein,null,,,
4885,2,3,4885,12/29/1957,1.00E-06,1298,Brad Grey,null,,,
4885,2,3,4885,null,0.0945,1220837,Remi Aubuchon,null,,,
4889,1,1,4889,null,0.00567,1219743,Endemol,null,,,
4889,1,2,4889,null,0.00567,1219743,Endemol,null,,,
4889,1,3,4889,null,0.00567,1219743,Endemol,null,,,
4889,2,1,4889,null,0.00567,1219743,Endemol,null,,,
4889,2,2,4889,null,0.00567,1219743,Endemol,null,,,
4889,2,3,4889,null,0.00567,1219743,Endemol,null,,,
4892,1,1,4892,null,0.000612,1227506,Nancy Hower,null,,,
4892,1,1,4892,11/25/1967,0.00025,1219214,John Lehr,null,,,
4892,1,2,4892,null,0.000612,1227506,Nancy Hower,null,,,
4892,1,2,4892,11/25/1967,0.00025,1219214,John Lehr,null,,,
4892,1,3,4892,null,0.000612,1227506,Nancy Hower,null,,,
4892,1,3,4892,11/25/1967,0.00025,1219214,John Lehr,null,,,
4892,2,1,4892,null,0.000612,1227506,Nancy Hower,null,,,
4892,2,1,4892,11/25/1967,0.00025,1219214,John Lehr,null,,,
4892,2,2,4892,null,0.000612,1227506,Nancy Hower,null,,,
4892,2,2,4892,11/25/1967,0.00025,1219214,John Lehr,null,,,
4892,2,3,4892,null,0.000612,1227506,Nancy Hower,null,,,
4892,2,3,4892,11/25/1967,0.00025,1219214,John Lehr,null,,,
4899,1,1,4899,2/22/1907,0.001084,41750,Sheldon Leonard,,,,
4899,1,2,4899,2/22/1907,0.001084,41750,Sheldon Leonard,,,,
4899,1,3,4899,2/22/1907,0.001084,41750,Sheldon Leonard,,,,
4899,2,1,4899,2/22/1907,0.001084,41750,Sheldon Leonard,,,,
4899,2,2,4899,2/22/1907,0.001084,41750,Sheldon Leonard,,,,
4918,1,1,4918,null,0.009896,1216656,Richard Appel,null,,,
4918,1,1,4918,null,0.618486,57744,Jonathan Aibel,,,,
4918,1,1,4918,,1.15821,57743,Glenn Berger,,,,
4918,1,2,4918,null,0.009896,1216656,Richard Appel,null,,,
4918,1,2,4918,null,0.618486,57744,Jonathan Aibel,,,,
4918,1,2,4918,,1.15821,57743,Glenn Berger,,,,
